target_account,target_account_id,followed_account,followed_account_id,is_premium,profile_image_url,profile_link
Richi44,20618748,Lotusblume91,23114309,false,https://imagecache.markt.de/iYKELannzEHtqhtW0qQZXeVS2ik=/fit-in/150x200/images_profile/ae/ea/eab7-eb20-458a-9d73-9c83d0f2f10b/image,"https://www.markt.de/lotusblume91/userId,23114309/profile.htm"
Richi44,20618748,DinaDemona,19354400,false,https://imagecache.markt.de/k7SBcWS15HOxxAURe23T8IBtffU=/fit-in/142x200/images_profile/3c/fc/a451-1acf-49db-8bc8-5542ba1c55e8/image,"https://www.markt.de/dinademona/userId,19354400/profile.htm"
a_cer1989,2765768,CrazyB41,35146674,false,https://static.markt.de/bundles/edhjdhjj/image/markt/userprofile/default_private.svg,"https://www.markt.de/crazyb41/userId,35146674/profile.htm"
a_cer1989,2765768,carola1986,7453091,false,https://static.markt.de/bundles/edhjdhjj/image/markt/userprofile/default_private.svg,"https://www.markt.de/carola1986/userId,7453091/profile.htm"
a_cer1989,2765768,Kim Kim 420,28508797,false,https://imagecache.markt.de/aPh2Vcj_7Zah9CdUu92i1zMO6io=/fit-in/150x200/images_profile/1d/da/5955-4c8b-4509-b3ee-a45ad06297fd/image,"https://www.markt.de/kim+kim+420/userId,28508797/profile.htm"
a_cer1989,2765768,Girly22,21216668,false,https://imagecache.markt.de/oV0Pusn7NW3O3S204Cb6_Fja3cQ=/fit-in/109x200/images_profile/fc/a8/10a8-5cf1-4d57-ba54-cb9e0214628f/image,"https://www.markt.de/girly22/userId,21216668/profile.htm"
a_cer1989,2765768,Alisa-Best,24697870,false,https://static.markt.de/bundles/edhjdhjj/image/markt/userprofile/default_private.svg,"https://www.markt.de/alisa+best/userId,24697870/profile.htm"
Winterleo,3836706,Sushi2022,21084293,true,https://static.markt.de/bundles/edhjdhjj/image/markt/userprofile/default_private.svg,"https://www.markt.de/sushi2022/userId,21084293/profile.htm"
Winterleo,3836706,Lady Sassy99,26005535,true,https://imagecache.markt.de/N8jkxyXVUhrR3LWnMYwsNDy-jK0=/fit-in/160x200/images_profile/23/02/8a68-1e95-4f1c-8c1f-d9310d5b0884/image,"https://www.markt.de/lady+sassy99/userId,26005535/profile.htm"
Großer Typ 60,20120048,Ihnbi,23100824,false,https://static.markt.de/bundles/edhjdhjj/image/markt/userprofile/default_private.svg,"https://www.markt.de/ihnbi/userId,23100824/profile.htm"
Großer Typ 60,20120048,Profil33846729,33846729,false,https://static.markt.de/bundles/edhjdhjj/image/markt/userprofile/default_private.svg,"https://www.markt.de/profil33846729/userId,33846729/profile.htm"
Großer Typ 60,20120048,19x5 beschnitten,29111417,false,https://static.markt.de/bundles/edhjdhjj/image/markt/userprofile/default_private.svg,"https://www.markt.de/19x5+beschnitten/userId,29111417/profile.htm"
Großer Typ 60,20120048,Profil32380762,32380762,false,https://imagecache.markt.de/-JfYhTJonna8vS9zXw379SRXEPA=/fit-in/130x130/images_profile/98/1c/3c7b-1e12-4284-9ecb-3c78530f2913/image,"https://www.markt.de/profil32380762/userId,32380762/profile.htm"
